text,user,id,project,page_title,page_url,disrespect,respect,explanation,causal_reasoning,narrative,question,response,advocacy,public_interest,counterarguments,constructive_proposal
"*As far as I know, content-wise Meta does not intervene in local projects, i.e. it's up to the community of a certain language to decide. Am I wrong? --",1l2l3k,84876.0,meta.wikimedia,Requests for comment/Racism at Azerbaijani Wikipedia,https://meta.wikimedia.org/wiki?curid=10715276.0,,,,,,,,,,,
"#:::@KKoolstra. That is a review process. The so-called vague wording is so we catch all meanings of review and process, whatever each community calls it, it is meant to be loose. A review process contains all the subsets of review procedure, inactivity regulation, etc.  Anyone of those in place puts a community outside of ""#proposal 3"". Have a look at the list that is being developed on the talk page, and you will see a list of wikis that have a review process of some form and therefore outside the scope of the proposed activity.
#::::OK, that changes my opinion to neutral (no real objections, no real pro's)",KKoolstra,92546.0,meta.wikimedia,Requests for comment/Activity levels of advanced administrative rights holders,https://meta.wikimedia.org/wiki?curid=2240667.0,,,,,,,,,,,
"We will see. What i can tell you: if you won't stop taht behaviour your next blocks on de.wiki will be longer, much longer if not permanently. You are raising conflicts, you don't accept admin action but violate guidelines with using proxis and so on. With this behaviour you have no chance. And that you hand yourself to complete ridiculousness with claiming for article quality while by yourself you wrote articles that doesn't fit even the minimal criteria for an acceptable article.",Julius1990,82148.0,meta.wikimedia,Requests for comment/Wiki mobbing on de.wikipedia,https://meta.wikimedia.org/wiki?curid=1224505.0,,,,,,,,,,,
Then maybe you should elect a new bureaucrat? --,Dungodung,86920.0,meta.wikimedia,Requests for comment/الباحث@ar Wikipedia rights removal,https://meta.wikimedia.org/wiki?curid=120314.0,,,,,,,,,,,
"#I imagine that a decision to remove this flag would have to come from the Wikimedia Foundation itself, not from a handful of a users on Meta.",A Stop at Willoughby,88128.0,meta.wikimedia,Requests for comment/Remove Founder flag,https://meta.wikimedia.org/wiki?curid=260922.0,,,,,,,,,,,
****Having banners pop up in my face every time I click an interwiki link is not very subtle.,Fetchcomms,88580.0,meta.wikimedia,Requests for comment/Global banners,https://meta.wikimedia.org/wiki?curid=291135.0,,,,,,,,,,,
"Support Support The evidence in the proposal, and a reading of some representative comments below (a few based on mis-assumptions), suggests that this is likely to be a net-positive change, for all.",Quiddity,91311.0,meta.wikimedia,Requests for comment/Travel Guide,https://meta.wikimedia.org/wiki?curid=1187813.0,,,,,,,,,,,
"#::Really? Wherefore this request, if that is so? That's only one half of the truth. And you know that very well. --",Björn Hagemann,83854.0,meta.wikimedia,Requests for comment/Global ban request for Messina,https://meta.wikimedia.org/wiki?curid=9930549.0,,,,,,,,,,,
"Sorry to made new notification to you Billinghurst, let me answer this, Hi @ANBI: it was caused by this Stewards'_noticeboard#Proposal_to_remove_all_advanced_rightsholders_at_Pashto_Wikipedia, you may read the detail there.--",Aldnonymous,94849.0,meta.wikimedia,Requests for comment/Possible Homophobia on Pashto Wikipedia,https://meta.wikimedia.org/wiki?curid=7019837.0,,,,,,,,,,,
"This global ban request clearly isn't going to succeed, so such a widespread broadcast would be excessive.",WereSpielChequers,93387.0,meta.wikimedia,Requests for comment/Global ban for Ottava Rima,https://meta.wikimedia.org/wiki?curid=2322501.0,,,,,,,,,,,
"Support Support One of the biggest rule violations is to evade a block for the purpose of continuing the behavior that led to it. This user has been doing that cross-wiki. עודמישהו OdMishehu 00:26, 28 May 2019 (UTC)Support Support",MiguelAlanCS,85186.0,meta.wikimedia,Requests for comment/Global ban for Meister und Margarita,https://meta.wikimedia.org/wiki?curid=10831293.0,,,,,,,,,,,
"Oppose Oppose. There are some small wikipedias where the rules for deciding when to deactivate rights could be improved.  When such problems are recognised, they should be tacled on a case-by-case basis, however.  The reason is that the circumstances are widely different for different WP's, and what is a good idea in some of them isn't in some others.  Therefore, no binding policy should be taken.  (A proposal for e.g. recommendations I might have supported.)",JoergenB,82476.0,meta.wikimedia,Requests for comment/Activity levels of advanced administrative rights holders,https://meta.wikimedia.org/wiki?curid=2240667.0,,,,,,,,,,,
(User has been globally banned by the [[WMF Global Ban Policy|Wikimedia Foundation]]) -,ArdiPras95,96626.0,meta.wikimedia,Requests for comment/Ongoing issues at Chinese Wikipedia,https://meta.wikimedia.org/wiki?curid=10471815.0,,,,,,,,,,,
"Well, you asked for response. It's abuse because the comment was made early on, in another context, and he made an error, out of his newness to the issue, which you might know enough, if you have been paying attention, to recognize. But because you are looking for support for your position, you didn't point out the error, because it would make that comment look less powerful and clear. In fact, the placement of that opinion, with the different name, made it look like there was more support for your position than actually exists. As people are becoming aware of this RfC, you can see what's happening. And that's without banners. (I assume that banners would be discussed before being requested or used.)
::::The entire line of conversation is irrelevant. All these comments would really belong on the attached Talk page, which I haven't done because of your behavior here, TelComNasSprVen or Alexander, whomever you are. I'm known in RL by ""Abd Lomax"".
::::And I see that TCNSV has edited his comment, to which others responded. Not after response. I'll fix it, per traditions on that. --",Abd,80774.0,meta.wikimedia,Requests for comment/Wikimedia Commons interwiki prefix,https://meta.wikimedia.org/wiki?curid=645080.0,,,,,,,,,,,
Support Support per Seddon --,Wittylama,101361.0,meta.wikimedia,Requests for comment/Stop accepting cryptocurrency donations,https://meta.wikimedia.org/wiki?curid=11660727.0,,,,,,,,,,,
"Oppose Oppose Wikivercities' purpose is clear: Educating people. Wikipedia exists for accessing knowledge, Wikiversity exists for learning it. The existence of (severe or not) problems in english wikiversity, isn't a reason for shuting down all wikiversities! — The preceding unsigned comment was added by Περίεργος (talk)Oppose Oppose--",Senpai,88300.0,meta.wikimedia,Requests for comment/Shut down Wikiversity,https://meta.wikimedia.org/wiki?curid=263951.0,,,,,,,,,,,
# Support. Agree with most that has been said above :-) --,Globe-trotter,90891.0,meta.wikimedia,Requests for comment/Travel Guide,https://meta.wikimedia.org/wiki?curid=1187813.0,,,,,,,,,,,
" Hi, @Pppery. It may look like a double jeopardy, but in fact is not. The previous unlock is with the condition, saying that As an update, after discussion among stewards I’ve unlocked User:PlanespotterA320. This situation is best handled in a (properly formatted) global ban request. Best,--Vermont. This is the first trial not the second. There was no previous trial before it, so it cannot be a double jeopardy",Lemonaka,102381.0,meta.wikimedia,Requests for comment/Global ban for PlanespotterA320 (2),https://meta.wikimedia.org/wiki?curid=12033142.0,,,,,,,,,,,
"@Ca2james:  On your other point - yes in an ideal system with perfectly applied justice, the only person at fault is the topic banned editor. But you will always have some miscarriages of justice, as after all there would be no need for appeal if the system was perfect. 

Also, sometimes it may be a valid complaint, but some issue arises with the process. E.g. with the timing, an editor takes out a valid case, but does it at exactly the right moment to delay or obstruct some action against them, or to distract from a case they are losing. Or it could be that they do it without first attempting to resolve the problem editor's behaviour amicably. In both cases the action is valid, they had just cause, but there are issues with the process itself. Such cases could involve discussing whether the way the other editor behaved was appropriate. In some cases there might be issues with the admins as well.

In addition to all that, the thing is also, that we want it to be a friendly place, so if an editor comes to the board, raging / scared / anxious etc, the first thing is to help them to calm down and focus on what they can do constructively. That is unless of course it is obviously libelous or some such where it just can't be permitted at all. And that's another way in which the board can help, and no amount of documentation can provide that human touch of someone to just listen to their case. Sometimes all they may need is someone to listen and then they figure out what to do next by themselves. 

So, at that point, first comers to the board, I think them just saying a few bad things about other editors should be treated with a bit of leniency. Like listening to a friend who is in trouble. In just this board, for the first few comments, so long as they show that their reason for coming to the board is to seek help. I think that would become clear quite quickly. If they do, they will be glad to be guided in the direction of more constructive conversation as that's what they came there for. I did actually work out several different sets of ideas for ways of dealing with situations like this during the proposal discussions, in considerable detail indeed,  but @Darkfrog24: I think wisely suggested we don't put these into the mockup but leave it just as <<GUIDELINES PENDING>>. There would also for sure be some situations where the conversation has to continue via email so they don't have to say things publicly, and we have also discussed this. 

I feel I've said rather a lot today, hopefully not too much yet, but I think it's time to get on with the many other things I need to do :). After all the RfCs here are quite leisurely. Back tomorrow.",Robertinventor,84141.0,meta.wikimedia,Requests for comment/Designated space for editors to give and seek advice about topic bans and other sanctions,https://meta.wikimedia.org/wiki?curid=10066869.0,,,,,,,,,,,
"#::No, not as I understand it. We will pay for its development using donated funds, in the hopes that we will later be able to sell a license to Google and others to recoup the costs. But that's not guaranteed. I'm talking about Google paying for its development, ""cash up front.""",Levivich,85747.0,meta.wikimedia,Requests for comment/Wikimedia Enterprise/en,https://meta.wikimedia.org/wiki?curid=11476206.0,,,,,,,,,,,
"Support Support - INC indicated to me that he would only sock [on enwiki] for good purposes. I wasn't particularly happy with that, but I didn't see a need for banning at the time. With the recent mass BLP-violating vandalism, however, he's clearly thrown that out the window. I doubt that a ban will slow him down, but it's a step that needs to be taken. —",DoRD,84545.0,meta.wikimedia,Requests for comment/Global ban of INeverCry 2,https://meta.wikimedia.org/wiki?curid=10484164.0,,,,,,,,,,,
"* Support I am firmly in favour of more global bans: if someone has exhausted their welcome at Wikipedia, why inflict them on other language versions of Wikipedia or on the sister projects? Some of those projects have great difficulty recruiting and retaining editors, why burden them with Wikipedia's sockpuppeting, trolling, spamming, vandalising people? It turns the sister projects from being potentially productive environments to hives of trolling and stupidity and editing solely to make a point. I believe in second chances: there are people who have left enwiki and gone on to do great work on other projects. But for people who aren't at all productive, we should probably be quicker to hand out global bans. I have no hestitation in saying that Poetlister is a perfect example of such a person. —",Tom Morris,80542.0,meta.wikimedia,Requests for comment/Global ban for Poetlister,https://meta.wikimedia.org/wiki?curid=579673.0,,,,,,,,,,,
Oppose Oppose few positive outcome for too much noise and problems ahead. --,PierreSelim,98645.0,meta.wikimedia,Requests for comment/Should the Foundation call itself Wikipedia,https://meta.wikimedia.org/wiki?curid=10960652.0,,,,,,,,,,,
"May be. But IMHO it sounds too fuzzy for explaining the problem for our English speaking colleagues. Yep, in the ideal world you would be absolutely right. But here (being a native Russian speaker) I would rather agree with Nil Einne's conclusion.",SfeoAC,102182.0,meta.wikimedia,Requests for comment/Global ban for Александр Мотин 2,https://meta.wikimedia.org/wiki?curid=12004180.0,,,,,,,,,,,
"@Turkmen: Considering that Baskervill was desysopped for the wheel warring and is now running for administrator again, I would think that the community should be able to review what happened when making their decision. --",Rschen7754,97651.0,meta.wikimedia,Requests for comment/Do something about azwiki,https://meta.wikimedia.org/wiki?curid=10742295.0,,,,,,,,,,,
"When you look at Wikipedia, the reason why it has so many volunteers, is because it derives its power from the community, and is non-profit. There aren't banner ads everywhere, and Wikipedia isn't forced to cater to special interests or to whatever is popular. The WMF doesn't care about that, and they have decided to treat Wikipedia as a for-profit organization. I expect that eventually, there will be ads. Do not expect me to stay here, when you lose your entire community of editors. You will turn Cluebot on high, destroying tons of editor's contributions. Vandalism will increase substantially. Any contributions that aren't obviously vandalism will stay, and Wikipedia will regress into an era of POV editing. Every non English Wikipedia will be even worse, however, as their growth will stagnate from a lack of dedicated participants. Please don't implement ""superprotect"", unless you want widespread hatred to perpetuate throughout the Wikimedia project.",123chess456,94462.0,meta.wikimedia,Requests for comment/Superprotect rights,https://meta.wikimedia.org/wiki?curid=5363998.0,,,,,,,,,,,
"@ZMcCune (WMF) and Heather (WMF): If actions speak louder than words, then this silence screams. Will I get an answer to my question?",Tufor,99052.0,meta.wikimedia,Requests for comment/Should the Foundation call itself Wikipedia,https://meta.wikimedia.org/wiki?curid=10960652.0,,,,,,,,,,,
"I'd like to readjust some incorrect statements above:<br />
* first, as I can see, a lot of the Contras never have been in contact to the ""stolperstein conflict"" in dewiki (partly as some of them registered later: Wagner67, 2017; Snookerado, 2017; Sik Imarg, 2018) - I wonder how they can judge this...
* As I noticed in my vote above, I've been working in the topics stolpersteine, holocaust victims, resistance to the nacis since about 2007 in both wikis (de, cs); about 2015 started Meister a Wikipedia project (in the Wikipedia namespace [!]) on stolpersteine in cs (etc.) [https://de.wikipedia.org/w/index.php?title=Wikipedia:WikiProjekt_Stolpersteine_in_%C3%96sterreich,_Ungarn,_Tschechien,_Slowakei_und_Italien&dir=prev&action=history] and started list of users who may participate (he and some never very active users), he consistently removed [https://de.wikipedia.org/w/index.php?title=Wikipedia:WikiProjekt_Stolpersteine_in_%C3%96sterreich,_Ungarn,_Tschechien,_Slowakei_und_Italien&diff=next&oldid=164603050] all other users; this was a serious point in the [https://de.wikipedia.org/wiki/Wikipedia:Schiedsgericht/Anfragen/Konflikt_um_Stolpersteinlisten de arbcom case 2017]
* Meister's assessment of the de.wiki is as follows: de.wiki consists from undercover paid editing by political parties and highly organized right-wing network (see [https://meta.wikimedia.org/w/index.php?title=User:Meister_und_Margarita&oldid=19121407 here]); this opinion is already older, even before 2017 he compared me with Nazis, anti-Semites, Goebbels (see the arbcom case); the cross wiki hounding (see his statement above) is just another personal attack
Howgh, I lost some four years of my live with this conflict. [[User:-jkb-|-jkb-]]

:*-jkb-, my view is that you hardened youself to a staunch enemy of Meister and Margarita, which is an altogether sad development since your ideas are actually not so far apart (o.k., now you will both turn on me). This hardening (I see it on all sides of this conflict, including Meister und Margarita) is the main problem of this case. Again and again I am really stunned to see that competent and highly motivated users see the only solution in a total downfall and global (or even universal?) ban of the opponent (and vice versa).",Mautpreller,98201.0,meta.wikimedia,Requests for comment/Global ban for Meister und Margarita,https://meta.wikimedia.org/wiki?curid=10831293.0,,,,,,,,,,,
"Oppose Oppose Oh no you don't. Wikipedia has built something and has cred (in my opinion deserved, if (luckily) also contested). Foundation doesn't have this. Build your own reputation and stop messing with stuff you haven't contributed to in any significant way. ---",Sluzzelin,98900.0,meta.wikimedia,Requests for comment/Should the Foundation call itself Wikipedia,https://meta.wikimedia.org/wiki?curid=10960652.0,,,,,,,,,,,
Support Support --,BuschBohne,85212.0,meta.wikimedia,Requests for comment/Global ban for Meister und Margarita,https://meta.wikimedia.org/wiki?curid=10831293.0,,,,,,,,,,,
"I will rather useEndorse as like an after-action review following emergency removal after abuse that is not accounted for properly by the user under the cloud. Support can work but I think endorse is better termed IMHO. Yes, per Rschen7754, I think there is scope for such removals to be just notified on SN than a full RFC, if they contest yes, but if they don't, I don't think we need an RFC.",Camouflaged Mirage,101803.0,meta.wikimedia,Requests for comment/Revoking Metaverse's global rename permission,https://meta.wikimedia.org/wiki?curid=11834369.0,,,,,,,,,,,
" Bottleneck (talk • contribs • block • xwiki-contribs • xwiki-date (alt) • CA • ST • lwcheckuser)__NOINDEX__ idem
 See the comment by Delay.",Trijnstel,89292.0,meta.wikimedia,Requests for comment/Abigor,https://meta.wikimedia.org/wiki?curid=576983.0,,,,,,,,,,,
"Support Support, regretfully. This user's refusal to accept their disruptive behaviour does not convince me of a behavioural reform. --SHB2000 (talk |",SHB2000,86541.0,meta.wikimedia,Requests for comment/Global ban for PlanespotterA320 (2),https://meta.wikimedia.org/wiki?curid=12033142.0,,,,,,,,,,,
Support Support c with weak support for com per Comanche conflict.,HueSatLum,80842.0,meta.wikimedia,Requests for comment/Wikimedia Commons interwiki prefix,https://meta.wikimedia.org/wiki?curid=645080.0,,,,,,,,,,,
"*** Look, I understand the difficulties of the civil-libertarian type argument. It's often necessary when the immediate beneficiaries are very disreputable indeed, and there are always assurances only the worst of the worst will suffer. But between what I've seen in terms of problematic bans, and the dubious benefit of the remedy here, the logic is well-grounded. Note we are not debating this because of virtue. We're debating it because it's arguably a power-grab from central authority when defied by local authority (with the best of intentions of course) --",Seth Finkelstein,89350.0,meta.wikimedia,Requests for comment/Global ban for Poetlister,https://meta.wikimedia.org/wiki?curid=579673.0,,,,,,,,,,,
"When you look at Wikipedia, the reason why it has so many volunteers, is because it derives its power from the community, and is non-profit. There aren't banner ads everywhere, and Wikipedia isn't forced to cater to special interests or to whatever is popular. The WMF doesn't care about that, and they have decided to treat Wikipedia as a for-profit organization. I expect that eventually, there will be ads. Do not expect me to stay here, when you lose your entire community of editors. You will turn Cluebot on high, destroying tons of editor's contributions. Vandalism will increase substantially. Any contributions that aren't obviously vandalism will stay, and Wikipedia will regress into an era of POV editing. Every non English Wikipedia will be even worse, however, as their growth will stagnate from a lack of dedicated participants. Please don't implement ""superprotect"", unless you want widespread hatred to perpetuate throughout the Wikimedia project.",123chess456,83413.0,meta.wikimedia,Requests for comment/Superprotect rights,https://meta.wikimedia.org/wiki?curid=5363998.0,,,,,,,,,,,
"Additional information 2:

Messina is now active as User [[:he:משתמש:מסינה|משתמש:מסינה]] on Hebrew Wikipedia
[https://he.wikipedia.org/w/index.php?title=%D7%9E%D7%A9%D7%AA%D7%9E%D7%A9:%D7%9E%D7%A1%D7%99%D7%A0%D7%94&oldid=18015077], accusing de:wp users for antisemitism and mention what he think are their real names. --",Alraunenstern,95196.0,meta.wikimedia,Requests for comment/Global ban request for Messina,https://meta.wikimedia.org/wiki?curid=9930549.0,,,,,,,,,,,
Support Support  What concerns me most is his constantly aggressive and vulgar language towards other users. Non-Vietnamese speakers may not be able to understand how severe these offenses are. But the truth is that they should never be accepted in any Wikimedia project.,Greenknight dv,86001.0,meta.wikimedia,Requests for comment/Global ban for Musée Annam,https://meta.wikimedia.org/wiki?curid=11641329.0,,,,,,,,,,,
"**EPIC [[:en:Godwin's Law|Godwin's Law]] FAIL: Since ""small wikis"" are not a collective, your hyperbole of ""Sippenhaft"" does not apply (even if they were being punished, which they're not). Managing local uploads effectively takes a certain amount of infrastructure and work, and projects need to show that they can do it. It's exactly the same principle as not making every user a sysop: they need to show that they can handle the tools before being given access to them.",Rd232,90637.0,meta.wikimedia,Requests for comment/Disable local uploads on smaller wikis,https://meta.wikimedia.org/wiki?curid=1107046.0,,,,,,,,,,,
Support Support.,Trijnstel,96735.0,meta.wikimedia,Requests for comment/Global ban of INeverCry 2,https://meta.wikimedia.org/wiki?curid=10484164.0,,,,,,,,,,,
"* I’d like to point out that, per [[#Statement]], this user can participate [in] the discussion freely. It’s not necessary to hide behind IPs. —",Galaktos,95140.0,meta.wikimedia,Requests for comment/Global ban for Tobias Conradi,https://meta.wikimedia.org/wiki?curid=8405893.0,,,,,,,,,,,
Oppose Oppose Explained on hr.wiki.,Kubura,82914.0,meta.wikimedia,Requests for comment/2013 issues on Croatian Wikipedia/Evidence/Conduct,https://meta.wikimedia.org/wiki?curid=2345343.0,,,,,,,,,,,
"Oppose Oppose Seems like most Wikipedians don't like the idea of a Wikipedia Foundation, so please do not switch names and leave everything as is.--",Aschmidt,98503.0,meta.wikimedia,Requests for comment/Should the Foundation call itself Wikipedia,https://meta.wikimedia.org/wiki?curid=10960652.0,,,,,,,,,,,
"*:IMO before we're talking about ""resolved"" and ""unresolved"" we should establish what it means. I mean how an issue could be considered ""resolved"" if an arbitrator asked this question last night  here on meta [//meta.wikimedia.org/w/index.php?title=Requests_for_comment%2FGwen_Gale&action=historysubmit&diff=3418717&oldid=3418164 ""At the same time, if these allegations about behaviour on en:Wikipedia have not been examined before, I merely ask if they should be examined now. Is this something of concern to the community?""], which means arbcom has never looked at the evidences at all. How this issue could be considered ""resolved"", if the most complete response I got was this one [//meta.wikimedia.org/w/index.php?title=User_talk%3ACourcelles&action=historysubmit&diff=3359768&oldid=3359685 ""It is time to back away, and drop this stick. Gwen Gale is not a perfect admin, for we have no such creatures. But she's not this bogeyman you want her to be seen as, either. ""]  No, the issue was never resolved.I was refused in a dispute resolution, and told the issue is resolved. Maybe it would have been better to file RFC about arbcom's conduct first. Well,I am going to file this RFC soon.--",Mbz1,90105.0,meta.wikimedia,Requests for comment/Meta-wiki requests for comment on users,https://meta.wikimedia.org/wiki?curid=936292.0,,,,,,,,,,,
Why would that be bad? To me that seems to be a quite favorable option. --,Liliana-60,83322.0,meta.wikimedia,Requests for comment/Superprotect rights,https://meta.wikimedia.org/wiki?curid=5363998.0,,,,,,,,,,,
"*:: I agree completely:  Apart from short-term crisis management, the most important way to assist small communities is to help them grow. Question:  Where can I find course materials for the abovementioned classes? ~",Ningauble,80661.0,meta.wikimedia,Requests for comment/Stewards' question: How to make your Wikimedian life easier?,https://meta.wikimedia.org/wiki?curid=616178.0,,,,,,,,,,,
Oppose Oppose I don't think that a global ban is the right instrument for this case. A global block seems to be more appropriate for me. --,Holder,85508.0,meta.wikimedia,Requests for comment/Global ban for Eric abiog,https://meta.wikimedia.org/wiki?curid=11095559.0,,,,,,,,,,,
I am quite surprised that Jusjih is a meta admin! Surely they'd know the policies better. [[User:SHB2000|SHB2000]] ([[User talk:SHB2000#top|talk]] <nowiki>|</nowiki>,SHB2000,100559.0,meta.wikimedia,Requests for comment/No username when titling any RFC,https://meta.wikimedia.org/wiki?curid=11509018.0,,,,,,,,,,,
***Banning me from wikis I am permitted to edit and have local consensus in support of keeping me isn't going to prevent ANYTHING bad! I'm already banned on enwiki and ruwiki anyway! So there is NO point in banning me elsewhere!--,PlanespotterA320,86672.0,meta.wikimedia,Requests for comment/Global ban for PlanespotterA320 (2),https://meta.wikimedia.org/wiki?curid=12033142.0,,,,,,,,,,,
"To me this has become less about the implementation of a particular piece of software, but the lack of respect if not outright contempt the board has shown to the community. The board speaks of having to act in order to maintain the position of Wikipedia as a ""top-5 website"", without asking themselves how the site became a top 5 website in the first place? May I suggest that it became so because of content, and that this content was created because users found the right mix of tools and culture to be willing to give of themselves. A great part of the wikimedia culture, though not much articulated, is egalitarianism, that all are welcome to edit, that all are equally valued for their contributions, and that all have a voice in how and in which direction the community should go, and from this consensus is built. However what superprotect tells us is that not all are equal, that there exist those who stand above us and rule us, that there is a Great Helmsman and his minions who will guide the ship to where they desire and that those of us who disagree with the direction can either like it or lump it. Well as Wikitravel found to their cost, volunteers give their time and goodwill out of affection and love of a project and if that is destroyed, well there goes your free work force.--",KTo288,94452.0,meta.wikimedia,Requests for comment/Superprotect rights,https://meta.wikimedia.org/wiki?curid=5363998.0,,,,,,,,,,,
"I'm afraid I'm unclear now, Steven. Are you saying WMF would not have acted if a community process had been in place at the time of this issue? From the discussion I'm seeing on Commons, there was nowhere near sufficient community consensus for a ban, and I see nothing from WMF indicating it was legally required/ordered to place one. Are you saying WMF would've stayed out of the situation? If not, how far is WMF planning to expand OFFICE authority, beyond when it's required by law to take an action?",Seraphimblade,90452.0,meta.wikimedia,Requests for comment/Global bans,https://meta.wikimedia.org/wiki?curid=1092583.0,,,,,,,,,,,
"OK, let me ask in a different way. Is there any am.wiki policy relating to homosexuality? Is homosexuality covered by any am.wiki policy pages that you are aware of? (I'm asking these questions because I want to understand exactly which aspects of Ethiopian law have been used as a basis for am.wiki policy).",Boing! said Zebedee,85059.0,meta.wikimedia,Requests for comment/Global ban for Til Eulenspiegel,https://meta.wikimedia.org/wiki?curid=10751049.0,,,,,,,,,,,
"* I checked it myself. For me, it always renders Spanish and not Asturian. Even for the example question you made the screenshot for. So, this may also be related to your location or settings. --",Ooswesthoesbes,101721.0,meta.wikimedia,Requests for comment/Reduce Asturian web presence,https://meta.wikimedia.org/wiki?curid=11729939.0,,,,,,,,,,,
"* Salsman continues to misgender me in this very thread. Every reply at this point is just an attack against me while trying to push the boundaries on what he can freely reveal about me. Wikimedia is my safe and inclusive space where I'm free to express myself and get treated with some level of decency and respect (ie. my preferred pronouns. not mentioning my old username, etc). Salsman is clearly determined to ruin that for me. I understood he would put me on blast for this request, but I have to draw the line somewhere. He has a reckless disregard for my safety and wellbeing as both a member of the Wikimedia movement and the LGBTQI+ community. If he isn't going to disclose his alternate accounts, then he he needs a muzzle. I'm tired of my personal and professional life being trivialised like this by someone who 28 out of 28 editors think should be globally banned. [[User:MJL|MJL]][[User talk:MJL|‐Talk‐]][[Special:CentralAuth/MJL|☖]] 05:05, 2 October 2020 (UTC)
**Make that 27. I'm out of here.",Jeromi Mikhael,99503.0,meta.wikimedia,Requests for comment/Global ban of James Salsman,https://meta.wikimedia.org/wiki?curid=11125189.0,,,,,,,,,,,
