speaker,speech,disrespect,respect,explanation,causal_reasoning,narrative,question,response,advocacy,public_interest,counterarguments,constructive_proposal
,"# Support. Why not? Isn't a travel guide in book form a similar form to books, we are using for creating our articles for example in the german topic biology. So I cannot imagine not taking those travel guides in book form and bringing it to a similar form like wikipedia articles. Of course we can also add information not mentioned in those books, and that's what this platform will be. But on the other hand we do not want to advertise specific hotels and other accomodations. So it should be a short description about the place. Currency, language, maybe some sentences and words, dangers, sights, maps, climate, history, just the most important information needed for traveling there. But  there should be no prices at all. --",0,0.0,1,0,0,1,0,0,0,1,0
,"*::::::Regardless, any steward can of their own initiative notify the local community of this and thus spark a recall, just as any other user can. --",0,0.0,1,0,0,0,0,0,0,0,0
,"** namespaceDupesWT.php and cleanupTitles.php are maintenance scripts used to recover broken page titles left behind by the switchover to the interwiki prefix, as the original titles were still considered entries in the wiki database, but inaccessible to anyone besides developers. See [[Meta:Babel#Broken/outreach:Cherokee]] as an example of this (and the only one left on this wiki). Because of the possible conflict in the pagetitle when the Outreach Wiki was introduced, it was moved to the ""Broken"" namespaces. Besides breaking lots of links, this is another possible outcome of the configuration change from the developers.",0,0.0,1,1,0,0,0,1,0,0,0
,"Well, there are users who seem to think that Wikipedia is something like Facebook or stuff like that: The biggest part of their user contribution are talks and this kind of activities. According to user contributions you can see that a load of the users on hr wikipedia do belong to this cathegory of users.  One of the rare guys who is a real WORKER, soembody who creates, and does so many things that are necessary for to improve the quality and the growth of hr wiki is Kubura. If you compare what those people who are attacking Kubura were producing during the last months and what Kubura is doing since years the difference is extremely significant. The decision, was wrong. Very wrong and a bad signal. Have a nice day --",0,0.0,1,0,0,0,0,1,0,1,0
,"#While it is legitimate to question the decisions Jimbo makes in his role as god-king, this is not the time for a revolution to overthrow him. He performs a valuable and necessary service to the Wikimedia project by acting as the ultimate authority, and I have confidence in his ability to use that authority wisely.",0,1.0,0,0,0,0,0,1,0,0,0
, :Template:Conditional support. If the complete removal of opt-in does not pass. --,0,0.0,0,0,0,0,0,0,0,0,0
,"I think this is an insult to the community of wikis, and I feel like this is going against the ""community-in-charge"" atmosphere here. --",0,0.0,1,0,0,0,0,1,0,1,0
,"#:::And it was much, much worse than that.  They went so far as to fabricate evidence to maintain the ban, and claimed I was using sock puppets.  When asked for actual evidence they could not produce any.  These are the same Wikinews admins who are running the site.  Calling these admins corrupt is an understatement, but it's possible they are just ignorant and paranoid.  In any case, these are not the kind of people who should be in any position of authority.",0,0.0,1,0,0,0,0,0,0,0,0
,"# This isn't at all what is being proposed. The idea isn't about selling access to our data. It's about recognising that large organisations that re-use our data are scraping it at the moment anyway, and that can get more from it if we provide it in a suitable form, we'll have lower overheads, and they're willing to pay for a better service. --",0,0.0,1,0,0,0,0,0,0,0,0
,noviewer|OpposeÂ Oppose Explained on hr.wiki.,0,0.0,1,0,0,0,0,0,0,0,0
,#Per above.,0,0.0,0,0,0,0,0,0,0,0,0
,"noviewer|OpposeÂ Oppose This does not resolve anything. The most of all: The local block even does not comply the requirements the DE:WP arbitration committee set for blocking the user in case he is violating the terms for his conditional unblocking. Also, there hasn't been a Benutzersperrverfahren, i.e. local user block referendum. Furthermore, there is nothing a global ban could help with the situation. And I am pretty sure that we won't block all University of Heidelberg IPs to prevent the user von editing WP. I also believe that Gonzo.Lubitsch did not understand what a global ban does mean. It is only a Mickey Mouse instrument based on psychology with no practical meaning. I  also am also displeased with Gonzo.Lubitsch's disruption of local consensus finding processes. The DE:WP community does not need any incapacitation by this Meta RfC. --",0,0.0,1,0,0,0,0,0,0,0,0
,"# The fact that we're here, with this petition, and so many items undeleted, tells us that Jimbo Wales' power is limited.  To remove it entirely means concentrating that power somewhere else, such as in the Wikimedia Board, and how much do we really know about their intentions?  But the founder bit is not Wales' power; that is more in who he knows and who he can persuadeâ€”another man might have worked entirely behind the scenes and we would never even know why things happened.  Let's not be stampeded into anything.",0,0.0,1,0,0,0,0,0,0,0,0
,"It is not my fault that I have become the only active bureaucrat, so please do not punish my just because the other one has become inactive. [[:simple:User:Angela]] was the lone bureaucrat on Simple Wikipedia, but resigned and promoted [[:simple:User:SimonMayer]] when she left, so having one lone bureaucrat is not unusual by iteslf.  Also, there has never been a formal request on simple:Wikipedia to re-evaluate my bureaucrat decisions before.  To immeditaly jump to revoking them is also unfair to me.  This entire request for comments is from a user who is barely active on the wiki (also, you can [//simple.wikipedia.org/w/index.php?title=Special:Contributions&target=M7 see] he is trying to change that only after I pointed out that he is barely active). --",0,0.0,1,0,0,0,0,0,0,0,0
,"since no local policy exists, and the fact even eligibility is not determine, as well stewards should not decide for local communities, I find that the result should beNot done, at least until local desysop policy is established.",0,0.0,1,1,0,0,0,0,0,0,0
,noviewer Strong oppose These people are not us. --,0,0.0,1,0,0,0,0,1,0,0,0
,*:::::::: And what do we do with the global abusefilter helper permission? We delete it? What do we do with users currently in that group?,0,0.0,0,0,0,1,0,0,0,0,0
,"# Too much information about users' editing patterns. What next, IP addresses?",0,0.0,0,0,0,1,0,0,0,1,0
,"As a side note - I am the only content editor here. Not you. Not Pathoschild. Not FT2. Not Wnt. Not anyone else. No one has the ability to talk about ""collaboration"" here besides me as no one has been involved in collaborating to create content.",0,0.0,1,1,0,0,0,0,0,1,0
,"There are always talks about a global ArbCom. If not such a thing, at least -some- group that can look into disputes. After all, Stewards are supposed to ""not decide"". How about a group that can decide. This doesn't mean that I support such an idea, but people bring it up quite often.",0,0.0,1,0,0,0,0,1,0,0,1
,"Whataboutism is the fundamental nature of thought. What about global debt, debt overhang, 50% of those under authoritarian regimes, hyperinflation, financial repression, CBDCâ€™s, capital controls, the petrodollar, the lower zero bound, etc. not so simple is it? --2600:8802:E03:1D00:CDAA:C9CE:A43:25A6 07:26, 12 January 2022 (UTC)supportÂ Strong support Cryptocurrencies are, besides being horrible for the environment, stupid internet monopoly money that only function as a scam, or as a mean to exchange illegal goods. While it is true that the WMF is smart enough not to touch such a radioactive and unstable asset directly, someone is actually exchanging the tokens for actual money, that typically comes from the purses of someone who's being scammed. I consider not refusing any contact with such ""crypto""""currencies"" ethically questionable.",0,0.0,1,0,0,0,0,0,0,0,0
,"No.  There's no way the tool can identify you.â€”[[en:User:Cyberpower678|cyberpower]] [[en:User talk:Cyberpower678|Chat]]Hello! 02:34, 24 June 2013 (UTC)

* No gain to remove this option anyway it's annoying no-one maybe just some frustrated voyeurs people, and even then...",0,0.0,1,0,0,0,0,0,0,0,0
,"noviewer|OpposeÂ Oppose I will stand opposite for any kind of ""Damnatio memoriae""--",0,0.0,1,0,0,0,0,0,0,0,0
,noviewer|OpposeÂ Oppose I don't think CIR is an appropriate rationale for a global ban. Also still active on other wikis. I can't speak for ptwiki but I don't see any issues with their edits on Wikidata and they have 15000 edits there. I can sympathize with the frustration but I don't think this is quite at the level needed for a global ban. --,1,0.0,1,0,0,0,0,0,0,0,0
,"#:We don't know if they're willing to pay for it, they've made no commitments to do so. Not sure what you mean by lower overheads, but this will cost us donated funds to implement, and it won't reduce our expenses, it'll actually increase them as we'll have to pay to maintain it. They're scraping it at the moment and this will provide a dedicated feed to them, but at our expense, with no guarantee about whether anyone will use it or pay for it or how much they'll pay.",0,0.0,1,0,0,0,0,0,0,0,0
,"noviewer|SupportÂ Support Compare with products such as taxation catalogues, available to anyone and compiled solely with information from public sources (such as income declarations), listing the annual income (and similar information) of all citizens in a selected area, for example a municipality. As far as I can tell, no one has ever complained about taxation catalogues being available. This tool appears to collect information from public sources in a similar way, and I don't see why this tool should be treated any different. Also, anyone can already access the information by downloading selected files from http://dumps.wikimedia.org/ or by using mw:API. --",0,0.0,1,0,0,0,0,0,0,0,0
,"No worries. A meta arbcom is a good idea, but hard to implement. Search meta if you want to help that concept become a reality.",0,1.0,1,0,0,0,0,0,0,0,0
,"# Requesting restore is equivalent to voting ""oppose remove"" on the other polls. This is effectively splitting the debate presenting it as if it was something different. Of course voting ""oppose"" on the other petition doesn't look as important, so let's redress it. I support closing this and keeping the debate on a single place. [[es:User:Drini|es:]]",0,0.0,1,0,0,0,0,0,0,0,1
,# Oppose. This latest round originates from a coordinated Commons-IRC campaign where user Mattbuck canvassed some of his friends to help him get Ottava blocked there. That block itself is controversial and being currently reevaluated.,0,0.0,0,0,0,0,0,0,0,0,0
,"noviewer|SupportÂ Support for clarity of identification, so long as staff can still use an alternate (non-staff identifying) account for ""regular editing"" if they wish, and so long as existing non-staff accounts that happen to contain the string, WMF, are grandfathered in. No regular editor should have to change an existing username.",0,0.0,1,0,0,0,0,1,0,0,0
,"I locked only one account. Since this is an established user, a proper way forward is an [[RFC]].",0,0.0,1,0,0,0,0,0,0,0,1
,"I should note that [[Child protection]] here on Meta is still only a proposed policy.  I've suggested we could enact a stripped-down version which reiterates the provisions of the [[Terms of use]] that concern problematic behaviors that could actually affect children, without the problematic ""advocacy"" and ""identification"" language that Jimbo Wales applied without community consensus in the en.wikipedia policy.  I agree that we would place ourselves in a very problematic rhetorical position if we tell correspondents from Yemen and other Arabic nations that they must accept our Muhammad images and blasphemies in the name of wide-ranging conversation, while they must not dare to suggest that their countries' very low or absent ages of consent are morally defensible.",0,1.0,0,0,0,0,0,0,0,0,1
,"{{Bilingual|1=en|2=<br/>1. Resignation of related administrators
*1-1. Related administrators (member of the [//tr.wikipedia.org/w/index.php?title=Vikipedi%3AK%C3%B6y_%C3%A7e%C5%9Fmesi_%28ilginize%29&diff=11525701&oldid=11525467 ""Memorandum of the Quintet""]: [[:tr:KullanÄ±cÄ±:Vito Genovese|Vito Genovese]], [[:tr:KullanÄ±cÄ±:Eldarion]], [[:tr:KullanÄ±cÄ±:Mskyrider|Mskyrider]], [[:tr:KullanÄ±cÄ±:Kibele|Kibele]], and [[:tr:KullanÄ±cÄ±:Elmacenderesi|Elmacenderesi]]) will resign voluntarily.
*1-2. If he/she reject his/her resignation, it will be subjected to a vote of confidence of the comunity and lose the rights to request adminship for two years. The voting for him/her will be held here (this page in Meta).
*1-3. Administrators who resigned voluntarily, will be able to request the rights of adminship after one year.--",0,0.0,1,0,0,0,0,0,0,0,0
,"noviewer|OpposeÂ Oppose Commons is already a global version by itself : it is intended to be multilingual and used by all projects. So its rules should be compatible with all of them, including the most restrictive ones (such as English Wikipedia), without creating legal issues (even if some wikis are also more liberal on some rules and have their own separate hosting such as ""fair use"" in US, but also more restrictive due to the reappropriation of copyright in US for contents that have NEVER be part of the US protection domain and NEVER been part of the US public domain but possibly in the legitimate public domain of other countries). Yes URAA is problematic in US because it goes too far (before it, it was not protective enough... US legislators have once again failed to honor the Berne convention and is once again abusing other countries: before it was abusing their copyright, now it is abusing their public domain !)",0,0.0,1,0,0,0,0,0,0,0,0
,"To put the figures above in context: We are talking about an IP address shared by 100 journalists and authors, in a speaker community that at best has 600,000 speakers. Prophilactically banning all of these from editing Wikipedia would be mathematically equivalent to banning the 300,000 English-language journalists and authors from editing the English Wikipedia at once.",0,0.0,1,0,0,0,0,1,0,0,0
,"Dear @ZMcCune (WMF): - while we're discussing, could we confirm that you're not (or won't be) evaluating them with the kind of reasoning seen at This set of response KPIs, where anyone who didn't specifically oppose, but had viewed the page, was perceived as somehow supporting the page?",0,0.0,1,0,0,1,0,0,0,0,0
,"*As far as I know, content-wise Meta does not intervene in local projects, i.e. it's up to the community of a certain language to decide. Am I wrong? --",0,0.0,1,0,0,1,0,1,0,0,0
,"See also [[User talk:Jasonnn~zhwiki#Blocked]]. regards,",0,0.0,1,0,0,0,0,0,0,0,0
,"# Support, It will be pleasant to work with upload times that don't allow me to make a cup of tea while I wait, or crash and lose my edits. Ok to be fair that can also happen on WP, but the difference in speed and frequency is very noticeable when uploading large files. Also I prefer to upload only once to Commons. Cheers!",0,0.0,1,0,0,0,0,0,0,0,0
,"*: Because you Kubura block everyone that does not subscribe to your right-wing fascism. Now, that particular page hasn't been brought to my attention until it was listed here, so there is no reason not to comment it. You have abudant history of imagining ""differences"" between Croatian and Serbian as well using imaginary words in your wiki correspondence in order to harass non-Croatian editors, so your involvement in the compilation of that particular list fits into your overall abuse patterns. --",0,0.0,1,1,0,0,0,0,0,0,0
,"# This is not the first time Wikiversity has been used to try to do an end-run round foundational goals, and it has become a happy home for grudge-bearing and self-referential ""research"" into supposed Wikipedia abuses. Most Wikipedians barely know the place exists so the result can be very heavily skewed. In the absence of a tangible commitment to pursuing proper standards of academic rigour, as the name implies, I think it is a net detriment to the goals of the Foundation. I would be very happy if they were able to clean up their act and engage in something rather closer to the goal as I originally understood it, which was to pursue original and reputable academic research in a collaborative environment.",0,0.0,1,0,0,0,0,1,0,0,0
,"*:::::Bumping, still waiting for this response.",0,0.0,0,0,0,0,0,0,0,0,0
,"noviewer|SupportÂ Support per above and my previous comments. Global locks is not a policy, but a list of common practices by stewards. One common practice is that ""Accounts that...obviously are...being disruptive on multiple wikis are candidates for a global lock."" This seems to fit that bill. I see no reason why global policy would prevent us from asking/telling stewards to lock known sock puppets of Slowking4 when found by local communities.",0,0.0,1,0,0,0,0,1,0,0,0
,"***Polish WikisÅ‚ownik has already [[:wikt:pl:WikisÅ‚ownik:Zasady tworzenia haseÅ‚|Zasady tworzenia haseÅ‚]] (""Article creation guide"") as well as pretty specific chapter on [[:wikt:pl:WikisÅ‚ownik:Nazewnictwo|Nazewnictwo]] (""Naming conventions"") that possibly could be expanded to document existing technical limitations. Â«[[User:Saper|Saper]]//[[User talk:Saper|talk]]Â» 13:01, 25 March 2014 (UTC)
* For the reference of anyone who didn't see it - the [[Wikipedia:WP:Redirects for discussion/Log/2014 February 16#C:AT|RfD discussion for ""C:"" redirects at the English Wikipedia]] earlier this month was subject to a procedural closure as being dependent on the result of this RfC. As I read the comments over there, if consensus is found here for the implementation of this link prefix, the English Wikipedia community will respect it as a rationale for deleting them. â€” [[User:Scott|Scott]] â€¢",0,0.0,1,0,0,0,0,1,0,0,0
,"noviewer|OpposeÂ Oppose The proposal states ""put a global notice for logged in users on all WMF projects (except commons and enwiki/dewiki/ruwiki/itwiki)"". The exception should rather be all projects that have an EDP policy.--",0,0.0,1,0,0,0,0,1,0,0,0
,#: Thatâ€™s a misinformation. I didnâ€™t wrote any diagnosis. Describing userâ€˜s actions and motivation in psychoscientific terms is not a diagnosis. â€“,0,0.0,1,0,0,0,0,0,0,1,0
,"Indeed, explained and confirmed that you blocked a user indefinitely after only five wrong edits.--",0,0.0,1,0,0,0,0,0,0,0,0
,"#::: Dear Sir Shurf, where do you see me ""being highly aggressive to everybody, who has a different point of view""? :) Didn't you describe more of the modus operandi of the user being under your so-called ""mentorship"" (which turns out in reality to be a protection from more severe sanctions), not mine? ;-) And isn't ""against the rules of community"" the thing you tried to do to me? ;-) And who'd I've ""intimidate""? :) At the same time, the user under your so-called ""mentorship"" REALLY DID intimidate Mrakia for her being a trans-person (and continued to do so even there, on this same page), and persisted in his misgendering her. Such behavior is simply NOT acceptable.",0,0.0,1,0,0,1,0,0,0,1,0
,"@Eldarado: This is rather unfortunate in this situation. I can't say that this is not allowed (for example, on English Wikipedia desysops are entirely through ArbCom), but in this particular scenario, where many administrators are accused of wrongdoing, it calls into question whether the administrators are banding together over Facebook groups and protecting one of their own. --",0,0.0,1,0,0,0,0,1,0,0,0
,supportÂ Strong support: the evidence provided above (and in many other RfCs) is damning and definitely earns Kubura a ban. He is not a constructive editor and is overall very rude to fellow editors and people who don't have the same opinions as him.,0,0.0,1,0,0,0,0,0,0,0,0
,"* * [https://meta.wikimedia.org/w/index.php?title=Global_arbitration_committee&oldid=19421852 Meta is not a Global Arbitration committee and there is NO global arbitration committee in any capacity.] 

A metawiki and wikicommons admin Billinghurst states the following: ""Turkish Wikipedia is a self-managing community.  [[Stewards]] have no authority to intervene, it is not their role. Your only means for resolution is with that community."". Here is the permanent link of the citation: https://meta.wikimedia.org/w/index.php?title=User_talk:Billinghurst&diff=prev&oldid=18188719 .
Camouflaged Mirage a meta admin, member of the [https://meta.wikimedia.org/w/index.php?title=Small_Wiki_Monitoring_Team&oldid=19774100 Small Wiki monitoring team],  similarly says ""[[Meta:What_Meta_is_not|Meta is not appeal court]]"". Here is the permanent link of his speech: https://meta.wikimedia.org/w/index.php?title=Meta:Requests_for_comment/Meta_admin_~riley_is_abusing_power&diff=prev&oldid=20014094 

I made similar cases like yours but I was dismissed everytime but on the other hand, META did not refrain from acting like a Global Arbitration committe when it came to AZwiki: an admin from AZwiki (Cekli829) was de-moted as a result of meta-discussion. Which means, you never know, sometimes meta may act like a Global Arbitration Committee and sometimes they may dismiss you. What does it depend on? I could explain but then that would land me problem... --",0,0.0,1,0,0,0,0,1,0,0,0
,"*This proposed #4 is a very good replacement of the existing #3. Denny made a good point that it can be written better, but I can't see why someone can't abuse the existing #3 to include their dog onto Wikidata...",0,1.0,1,0,0,0,0,0,0,1,0
,"[[User:Micru|Micru]], could you please summarize your background research, perhaps with a few links so others can assess things?  Why do you consider standard conventions unusable?  (What are those standard conventions?  I assume you do not mean those currently in Wikidata -- I am referring to background research outside Wikidata.)  I suppose we see things a bit differently.  I generally prefer to use conventions from the wider Semantic Web and facilitate interoperability with other vocabularies as much as possible.",0,1.0,0,0,0,1,0,0,0,1,1
," A key pro seems to be that without an explicit policy, someone like Olaf who runs a SEO shop seems to think we don't have a policy that requires it. ChristianKl âªâœ‰â« 16:05, 30 November 2020 (UTC)Â Oppose any weakening of the current WMF ToU for use in Wikidata.Â Oppose anything like what Commons has. I'dWeak support creating a document here that essentially says the same thing as the WMF ToU, to address the issue ChristianKl mentioned above.",0,0.0,1,0,0,0,0,0,0,0,0
,"Just a note that I would support a property creator noticeboard (or perhaps just some easy way to ""ping"" all property creators). Mostly I would expect just brief pointers to items like this RFC or particular property proposals or pages like the external id's one that need review, but lengthier discussion among property creators to try to obtain consensus on relevant topics would be helpful. Posting to ""Project Chat"" or the Admin noticeboard allows things to get lost among many other topics (only the few who happen to be paying attention at that time may catch the discussion).",0,0.0,1,0,0,0,0,0,0,0,1
,Â Oppose Not well described.,0,0.0,1,0,0,0,0,0,0,0,0
,"Â Support -- Although we have permanent admins, but we still have rules and regulations for the cancellation of status if encountered fatal abuse.",0,0.0,1,0,0,0,0,0,0,0,0
,"A completely arbitrary string is useless, of course. The point of a meaningful fragment identifier is
:::# to make the browser open the corresponding section if it exists,
:::# to decrease the probability of the same concept in one page being linked from multiple items (the same page can be linked from multiple items, but the fragment identifiers must differ).
::: But I agree that linking to another item, for example [[Wikidata:Property proposal/Sister projects#Similar item|using a property]] (please vote!), is cleaner.",0,1.0,1,0,0,0,0,0,0,0,0
,"I think the reader should have the assumption that he will find information about the topic of the sitelink at the article towards which the sitelink points. I don't think there needs to be an assumption that all the information in the linked article is about the same topic. Even without redirects articles in different languages have different scope, so there isn't a 1-to-1 match anyways.",0,0.0,1,0,0,0,0,0,0,0,0
,"*:I suppose you didn't read the suggestion carefully enough (""[â€¦] as long as they still are eligible to hold them under any applicable inactivity policy.""). <code>;-)</code> Kind regards,",0,0.0,1,0,0,0,0,0,0,0,0
,"Hi JakobVoss, your example is similar to what I have been looking for. In the following examples, ls is a command
$ ls dirname 
displays the contents of a directory (with name 'dirname' as argument)
$ ls -R dirname 
displays the contents of a directory recursively (directories within directory etc.). Here -R is an option.

There are 2 options (propositions):
 make use of has part(s) (P527) to specify that commands have arguments and options
 propose 2 new properties: has argument and has option for command line tools

P.S. Sorry for the long delay in reply.",0,1.0,1,0,0,0,0,0,0,0,1
,"Eeek; that's a lot of headers! I think that marking properties as ""ready"" shouldn't count as closing, but everything else should be (done, not done, withdrawn). From what I know, that's how it's currently done.",0,0.0,1,0,0,0,0,0,0,0,0
,# very good idea since users with the flood flag don't have to wait for a bureaucrat to remove it [[User:The Anonymouse|TheAnonymouse]],0,1.0,1,1,0,0,0,0,0,0,0
,Â Emot - Can somebody explain how the archives works here? --,0,0.0,0,0,0,1,0,0,0,0,0
,"I'm afraid this reform won't really change anything to my concrete problems with the process, this is just minor changes. What about a proposal like Wikidata:Property proposal/Generic Â§Â subclass ? A lot of discussions, a lot of approval, a lot of time ... but still no real reason for the creators not to create it ? authorTomT0m / talk",0,0.0,1,0,0,0,0,0,0,0,0
,Strong support. â€”,0,0.0,0,0,0,0,0,0,0,0,0
,"adding comment ""done""Â Support

adding comment ""not done""Â Support Thryduulf (talk: local | en.wp | en.wikt) 02:06, 21 March 2016 (UTC)

adding comment ""ready""Â Oppose Thryduulf (talk: local | en.wp | en.wikt) 02:06, 21 March 2016 (UTC)

adding comment ""withdrawn""Â Support Thryduulf (talk: local | en.wp | en.wikt) 02:06, 21 March 2016 (UTC)
See my note on withdrawals, above. Andy Mabbett (Pigsonthewing); Talk to Andy;",0,0.0,1,0,0,0,0,0,0,0,0
,"******* ""Exasperation""? There are a couple of editors making <s>trouble</s> a fuss over nothing, regarding a few properties for which plenty of data exists in Wikipedia or in external sites; but that has nothing to do with either this proposal, nor my question. I don't assume your lack of response means lack of agreement, far from it. It just shows a lack of evidence. Just as there is no evidence of your hypothetical unconnected statements or lack of long-term use with regard to the issues covered by this proposal. [[User:Pigsonthewing|Andy Mabbett]] (Pigsonthewing); [[User talk:Pigsonthewing|Talk to Andy]];",0,0.0,1,0,0,0,0,0,0,0,0
,"**I would support the reorganisation of the pages; I share Arthur's concerns in that particular regard, and his example is well made. [[User:Pigsonthewing|Andy Mabbett]] (Pigsonthewing); [[User talk:Pigsonthewing|Talk to Andy]];",0,1.0,1,0,0,0,0,0,0,0,0
,"****** Andy, look at the exasperation over on project chat about the large number of barely used properties, look at the long list of potential external identifiers that we've been slowly slogging through, look at the properties that *have* been deleted. Were many created without much discussion? I believe so but I'm not going to go digging up details for you. Unfortunately I have two major projects that just landed on my lap yesterday so I'm probably not going to have much time for wikidata stuff at all for a while. Please don't assume my lack of response means agreement. What we really need is a better consensus on the purposes behind property creation in the first place - what are we actually trying to do here? Structure data, yes. But we are trying to avoid the mess that dbpedia and freebase got into with huge numbers of unconnected statements. Good properties connect things together wonderfully. How do we ensure that we limit the created properties to ones that will be long-term useful?",0,0.0,1,0,0,1,0,0,0,0,1
,"I don't believe this is necessary. If a delay is holding someone up they can ping a PC (as people occasionally did me, and I was happy to respond as soon as possible). [[User:Pigsonthewing|Andy Mabbett]] (Pigsonthewing); [[User talk:Pigsonthewing|Talk to Andy]];",0,0.0,1,0,0,0,0,0,0,1,1
,"If the same source has a new value for something (same source meaning identical source claims other than for retrieved (P813)) a bot should delete the old claim and add the new value. If there was more than one source on the previous statement, it should remove the matching source on the old statement and add the new as an additional statement.",0,0.0,1,0,0,0,0,0,0,0,1
,(Only valid if the first proposal passes) An exception may be made for the case of regranting of the right to former property creators and administrators where the reason for removal was uncontroversial or due to inactivity.Â Support to avoid bureaucracy. --,0,0.0,1,0,0,0,0,0,0,0,0
,"Personal experience. <code>;-)</code> I once messed up metawiki's RecentChanges with sending translation notifications and no bureaucrat was able to grant me the flood flag. A steward had to grant it to my account, at the end. After this incident, also metawiki 'crats got the ability to grant the flood flag to every account. Regards,",0,0.0,1,0,1,0,0,0,0,0,0
,"Â Oppose Totally counter productive. That mean if I ask for precission for the creation of a property, that I can finally create it. --",0,0.0,1,0,0,0,0,0,0,0,0
